"Region","District","Trt","mean_diff_all"
"Oromia","Digelu-Tijo","All-S",2.89929057501034
"Oromia","Digelu-Tijo","All-Zn",2.12731496603952
"Oromia","Digelu-Tijo","Control",-42.7951156340426
"Oromia","Digelu-Tijo","recNP+S2",-2.35838845352179
"Oromia","Dodola","All",0
"Oromia","Dodola","All-B",9.10882261548478
"Oromia","Dodola","All-K",-7.33438855992104
"Oromia","Dodola","All-KSZnB",5.18427477206934
"Oromia","Dodola","All-N",-11.2885822924003
"Oromia","Dodola","All-P",-24.4879349817121
"Oromia","Dodola","All-S",-4.85607374493586
"Oromia","Dodola","All-Zn",0.293266802658685
"Oromia","Dodola","Control",-32.4846762816904
"Oromia","Dodola","recNP+S2",-0.31511803693404
"Oromia","Dsadi","All",0
"Oromia","Dsadi","All-B",9.58894221383236
"Oromia","Dsadi","All-K",4.40352754024022
"Oromia","Dsadi","All-KSZnB",26.815937246243
"Oromia","Dsadi","All-N",-16.1696465892785
"Oromia","Dsadi","All-P",-15.1744352440968
"Oromia","Dsadi","All-S",5.28814658562477
"Oromia","Dsadi","All-Zn",-10.4862916646408
"Oromia","Dsadi","Control",-56.9823675488702
"Oromia","Dsadi","recNP+S2",10.1792151493376
"Oromia","Dugda","All",0
"Oromia","Dugda","All-B",-0.262984487001308
"Oromia","Dugda","All-K",15.7986149332959
"Oromia","Dugda","All-KSZnB",25.6750455020973
"Oromia","Dugda","All-N",-25.1599403665141
"Oromia","Dugda","All-P",4.1783873296201
"Oromia","Dugda","All-S",9.26397432117505
"Oromia","Dugda","All-Zn",2.23955609311134
"Oromia","Dugda","Control",-33.4301542969041
"Oromia","Dugda","recNP+S2",10.1848318807285
"Oromia","Ejere","All",0
"Oromia","Ejere","All-B",0.524394732987954
"Oromia","Ejere","All-K",5.46574988454173
"Oromia","Ejere","All-KSZnB",-5.43278117865731
"Oromia","Ejere","All-N",-49.9695282951539
"Oromia","Ejere","All-P",-22.7841319752177
"Oromia","Ejere","All-S",3.93626257107538
"Oromia","Ejere","All-Zn",-4.15121679087258
"Oromia","Ejere","Control",-65.5378690450535
"Oromia","Ejere","recNP+S2",1.47728587973191
"Oromia","Gemechis","All",0
"Oromia","Gemechis","All-B",-9.64321581359788
"Oromia","Gemechis","All-K",12.2879842140623
"Oromia","Gemechis","All-KSZnB",2.96156426454227
"Oromia","Gemechis","All-N",-6.73061922223655
"Oromia","Gemechis","All-P",9.91709752252422
"Oromia","Gemechis","All-S",4.99070246164262
"Oromia","Gemechis","All-Zn",-4.88179221456004
"Oromia","Gemechis","Control",-23.6822856045293
"Oromia","Gemechis","recNP+S2",-3.53065313776198
"Oromia","Ginir","All",0
"Oromia","Ginir","All-B",-9.21788791311407
"Oromia","Ginir","All-K",-1.79156190452985
"Oromia","Ginir","All-KSZnB",-1.5355707453981
"Oromia","Ginir","All-N",-12.871111448214
"Oromia","Ginir","All-P",-11.7393757414944
"Oromia","Ginir","All-S",-12.1686241555535
"Oromia","Ginir","All-Zn",-6.24499923269303
"Oromia","Ginir","Control",-26.049003098214
"Oromia","Ginir","recNP+S2",-3.52860372352141
"Oromia","Goba","All",0
"Oromia","Goba","All-B",-7.96132202421207
"Oromia","Goba","All-K",8.25126276763948
"Oromia","Goba","All-KSZnB",1.28766570845819
"Oromia","Goba","All-N",-8.47179895583458
"Oromia","Goba","All-P",-0.205439403393077
"Oromia","Goba","All-S",-2.59187681570407
"Oromia","Goba","All-Zn",-0.32995343560393
"Oromia","Goba","Control",-63.481512614839
"Oromia","Goba","recNP+S2",-16.1199688172059
"Oromia","Habro","All",0
"Oromia","Habro","All-B",21.4784836254785
"Oromia","Habro","All-K",-15.115958753435
"Oromia","Habro","All-KSZnB",-3.39248600289875
"Oromia","Habro","All-N",-36.6922328462901
"Oromia","Habro","All-P",-17.1480107652507
"Oromia","Habro","All-S",6.15357302736707
"Oromia","Habro","All-Zn",16.3837154738627
"Oromia","Habro","Control",-48.8480010165912
"Oromia","Habro","recNP+S2",-7.92218362485308
"Oromia","Horo","All",0
"Oromia","Horo","All-B",-3.58564498586934
"Oromia","Horo","All-K",-6.54901580998706
"Oromia","Horo","All-KSZnB",-8.99083658135559
"Oromia","Horo","All-N",-60.7134079003
"Oromia","Horo","All-P",-27.5965402178687
"Oromia","Horo","All-S",-4.2964904522292
"Oromia","Horo","All-Zn",-3.26798604976037
"Oromia","Horo","Control",-64.9726667502245
"Oromia","Horo","recNP+S2",-3.12768583861118
"Oromia","Jima Arjo","All",0
"Oromia","Jima Arjo","All-B",17.3898893850946
"Oromia","Jima Arjo","All-K",7.34514900124089
"Oromia","Jima Arjo","All-KSZnB",-5.54455243352376
"Oromia","Jima Arjo","All-N",-51.5236514506058
