Lat_DD,Lon_DD
10.66,36.98
10.66,36.98
10.66,36.98
10.66,36.98
10.66,36.98
10.66,36.98
10.66,36.98
10.66,36.98
10.66,36.98
10.66,36.98
10.66,36.98
10.66,36.98
10.66,36.98
10.66,36.98
10.66,36.98
10.66,36.98
10.66,36.98
10.66,36.98
10.66,36.98
10.66,36.98
10.66,36.98
10.66,36.98
10.66,36.98
10.66,36.98
10.66,36.98
10.66,36.98
10.66,36.98
10.66,36.98
10.66,36.98
10.66,36.98
10.66,36.98
10.66,36.98
10.66,36.98
10.66,36.98
10.66,36.98
10.66,36.98
10.66,36.98
10.66,36.98
10.66,36.98
10.66,36.98
10.66,36.98
10.66,36.98
10.66,36.98
10.66,36.98
10.66,36.98
10.66,36.98
10.66,36.98
10.66,36.98
10.66,36.98
10.66,36.98
10.66,36.98
10.66,36.98
10.66,36.98
10.66,36.98
10.66,36.98
10.66,36.98
10.66,36.98
10.66,36.98
10.66,36.98
10.66,36.98
10.27,37.44
10.27,37.44
10.27,37.44
10.27,37.44
10.27,37.44
10.27,37.44
10.27,37.44
10.27,37.44
10.27,37.44
10.27,37.44
10.27,37.44
10.27,37.44
10.27,37.44
10.27,37.44
10.27,37.44
10.27,37.44
10.27,37.44
10.27,37.44
10.27,37.44
10.27,37.44
10.27,37.44
10.27,37.44
10.27,37.44
10.27,37.44
10.27,37.44
10.27,37.44
10.27,37.44
10.27,37.44
10.27,37.44
10.27,37.44
10.28,37.45
10.28,37.45
10.28,37.45
10.28,37.45
10.28,37.45
10.28,37.45
10.28,37.45
10.28,37.45
10.28,37.45
10.28,37.45
10.28,37.45
10.28,37.45
10.28,37.45
10.28,37.45
10.28,37.45
10.28,37.45
10.28,37.45
10.28,37.45
10.28,37.45
10.28,37.45
10.28,37.45
10.28,37.45
10.28,37.45
10.28,37.45
10.28,37.45
10.28,37.45
10.28,37.45
10.28,37.45
10.28,37.45
10.28,37.45
10.33,37.49
10.33,37.49
